,pipeline,experiment_folder_name,run_name,dataset_name,training_proportion,is_subset,batch_size,num_workers,learning_rate,n_epochs,dose,dual_loss_weighting,reconstruction_loss,sinogram_loss,reconstruction_network,primal_dimension,primal_name,primal_n_layers,primal_n_filters,dual_dimension,dual_name,dual_n_layers,dual_n_filters,lpd_n_iterations,fourier_filtering_is_filter,angle_partition_min_pt,angle_partition_max_pt,angle_partition_shape,detector_partition_min_pt,detector_partition_max_pt,detector_partition_shape,src_radius,det_radius,beam_geometry,LIDC-IDRI-0893,LIDC-IDRI-0772,LIDC-IDRI-0900,LIDC-IDRI-1002
0,reconstruction,100_percent_measurements,2d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,13.649414023037615,24.083129441178084,24.214906554416295,13.91919780743085
0,reconstruction,100_percent_measurements,2d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,12.975940516899373,22.90668140641795,27.812487416677346,13.545653583847473
0,reconstruction,100_percent_measurements,2d_5it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,11.833915490117567,20.431167954566494,25.1152522229501,11.956973025360583
0,reconstruction,100_percent_measurements,2d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,14.879185903483423,26.15865617790478,26.283236658950738,14.861599889499747
0,reconstruction,100_percent_measurements,2d_1it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,17.92595892610221,28.4524398522089,26.394387107089635,18.147410865141968
0,reconstruction,100_percent_measurements,1d_1it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,Unet,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,12.450699470783102,20.523810021829284,18.069293481731847,12.553750831390095
0,reconstruction,100_percent_measurements,1d_5it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,11.625058105074126,19.174364640408715,23.541913666876194,11.783965021650367
0,reconstruction,100_percent_measurements,1d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,Unet,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,13.265727566028463,23.525974824124535,23.665770509124343,13.751915382076275
0,reconstruction,100_percent_measurements,1d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,13.300941000313594,20.90720427596329,20.150677145875957,13.648052367094522
0,reconstruction,100_percent_measurements,2d_5it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,Unet,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,12.841799880718362,21.363494252198496,25.04324428420261,13.03825046860169
0,reconstruction,100_percent_measurements,1d_5it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,Unet,1,8,5,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,15.742891170238627,22.961597282614484,22.89378946830784,15.828159629370193
0,reconstruction,100_percent_measurements,2d_1it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,Unet,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,14.62914929225527,22.61593967156122,26.128313923313605,14.796008612136603
0,reconstruction,100_percent_measurements,2d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,cnn_block,1,8,1,False,0,6.28318530718,1024,-473,473,736,787,298,fan_beam,14.288137511549325,16.966288464181375,17.580895307376913,14.786938007746901
